duration,count
1.0,8
1.1,44
1.2,25
1.3,31
1.4,30
1.5,23
1.6,39
1.7,27
1.8,27
1.9,36
2.0,24
2.1,24
2.2,40
2.3,24
2.4,31
2.5,34
2.6,26
2.7,27
2.8,23
2.9,40
3.0,34
3.1,50
3.2,34
3.3,18
3.4,19
3.5,27
3.6,20
3.7,25
3.8,35
3.9,26
4.0,33
4.1,21
4.2,18
4.3,27
4.4,20
4.5,17
4.6,16
4.7,31
4.8,21
4.9,18
5.0,29
5.1,14
5.2,22
5.3,22
5.4,19
5.5,16
5.6,20
5.7,16
5.8,18
5.9,17
6.0,18
6.1,17
6.2,13
6.3,13
6.4,17
6.5,14
6.6,19
6.7,19
6.8,21
6.9,10
7.0,12
7.1,11
7.2,11
7.3,11
7.4,12
7.5,13
7.6,11
7.7,19
7.8,15
7.9,9
8.0,15
8.1,7
8.2,12
8.3,11
8.4,5
8.5,7
8.6,17
8.7,10
8.8,14
8.9,17
9.0,9
9.1,12
9.2,9
9.3,6
9.4,7
9.5,5
9.6,6
9.7,6
9.8,9
9.9,11
10.0,7
10.1,10
10.2,7
10.3,9
10.4,7
10.5,6
10.6,4
10.7,12
10.8,10
10.9,7
11.0,5
11.1,13
11.2,13
11.3,5
11.4,7
11.5,4
11.6,9
11.7,8
11.8,13
11.9,8
12.0,9
12.1,6
12.2,8
12.3,13
12.4,10
12.5,9
12.6,7
12.7,5
12.8,10
12.9,6
13.0,12
13.1,11
13.2,7
13.3,8
13.4,13
13.5,18
13.6,14
13.7,10
13.8,7
13.9,16
14.0,15
14.1,20
14.2,17
14.3,12
14.4,13
14.5,7
14.6,19
14.7,4
14.8,22
14.9,12
15.0,9
15.1,1
15.2,1
15.3,1
15.4,1
15.5,2
15.6,1
15.9,2
16.1,7
16.2,1
16.4,5
16.5,5
16.6,3
16.7,3
16.8,1
16.9,3
17.0,2
17.1,2
17.2,2
17.3,1
17.4,6
17.5,4
17.6,3
17.7,1
17.8,1
18.0,3
18.1,6
18.2,2
18.4,2
18.5,1
18.6,3
18.7,1
18.8,4
18.9,4
19.0,3
19.1,2
19.2,2
19.3,3
19.4,2
19.5,3
19.6,3
19.7,4
19.8,2
20.0,2
