word,predicted_label,confidence,nearest_high_freq_word,edit_distance,review_outcome
डुलो,correct spelling,low,हेलो,2,right
दियां,correct spelling,low,दिया,1,right
चंगा,correct spelling,low,होगा,2,right
होस्ट,correct spelling,low,दोस्त,2,right
जोड़कर,correct spelling,low,जाकर,2,right
कोल्लब,correct spelling,low,क्लब,2,right
जुठे,correct spelling,low,जैसे,2,right
हेै,correct spelling,low,है,1,right
चढ़ाने,correct spelling,low,खाने,3,right
किएगा,correct spelling,low,किया,2,right
"उतनी,",correct spelling,low,उतना,2,right
वटिंग,correct spelling,low,वहां,3,right
जसको,correct spelling,low,उसको,1,right
दुल्हरी,correct spelling,low,जल्दी,4,right
अवस्थाएं,correct spelling,low,अच्छा,5,wrong
"बोरा,",correct spelling,low,बोला,2,right
कात्या,correct spelling,low,क्या,2,right
सोङ,correct spelling,low,सोच,1,right
अट्टारा,correct spelling,low,अच्छा,4,right
तैयारे,correct spelling,low,तैयारी,1,right
कोर्डिंग,correct spelling,low,दोस्तों,5,wrong
एक्सपीरिएंसिस,incorrect spelling,low,एक्सपीरियंस,3,wrong
ड्रंक,correct spelling,low,ब्रेक,2,right
मनिटर,correct spelling,low,फिर,3,right
भगवार,correct spelling,low,अगर,3,right
कैंडिलस,correct spelling,low,फैमिली,4,right
डिस्कॉर्स,correct spelling,low,स्टार्ट,5,wrong
पेटीस,correct spelling,low,पे,3,right
टक्निक,correct spelling,low,टॉपिक,3,right
यूं_पी_एस_सी,incorrect spelling,low,एक्सपीरियंस,9,wrong
वेश्वी,correct spelling,low,सेफ्टी,3,right
श्रादी,correct spelling,low,शादी,2,right
बैलिंग,correct spelling,low,बोलिए,3,right
प्रजे,correct spelling,low,पर,3,right
बैसिकलि,correct spelling,low,फैमिली,4,right
हूं.अब,correct spelling,low,हूं,3,right
निक्को,correct spelling,low,दिक्कत,2,right
फ़्लै,correct spelling,low,क्लब,2,right
करतेकरतेकरते,incorrect spelling,low,विवेकानंद,10,wrong
पि_ए,correct spelling,low,लिए,2,right
सीक्रिट,correct spelling,low,नेक्स्ट,4,right
हा।और,correct spelling,low,और,3,right
ड्राविडियन्स,incorrect spelling,low,एक्सपीरियंस,9,wrong
मज्ज,correct spelling,low,मजा,2,right
व्यक्तित्स,correct spelling,low,व्यक्ति,3,right
स्काउट्,correct spelling,low,स्कूल,4,right
कुटुम्बकम्,correct spelling,low,मुश्किल,7,wrong
भावसिकता,correct spelling,low,मिलता,5,wrong
भूसा,correct spelling,low,ऐसा,2,right
वाइयात,correct spelling,low,वाला,3,right
